Year,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cameroon,Cape Verde,Central African Republic,Chad,Comoros,DR Congo,Congo,Ivory Coast,Djibouti,Egypt,Equatorial Guinea,Eritrea,Ethiopia,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Libya,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sao Tome and Principe,Senegal,Sierra Leone,Somalia,South Africa,South Sudan,Sudan,Swaziland,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe
1960,252.19,,93.48,58.04,67.69,66.66,114.39,,74.6,106.15,,218.6,129.97,150.12,,148.52,,,,291.25,,180.62,,,97.62,40.61,170.74,,131.88,46.23,,108.42,,175.22,,,138.34,91.37,42.94,,260.13,147.22,64.01,423.27,,135.38,100.45,,76.77,,62.34,229.49,280.62
1961,221.21,,96.15,61.32,70.66,67.83,119.01,,80.52,110.68,,195.77,145.85,163.66,,151.28,,,,343.24,,187.17,,,94.84,41.2,160.95,,133.76,48.39,,122.61,,169.55,,,145.27,95.23,42.72,,267.19,147.54,66.44,431.35,,143.13,120.37,,79.31,202.5,63.03,217.67,282.89
1962,178.54,,95.14,64.81,75.41,70.11,123.83,,79.97,116,,233.59,155.98,164.32,,136.13,35.37,,,372,,192.56,,,100.6,47.45,163.89,,138.07,49.57,,122.98,,193.86,,,154.43,102.42,42.47,,266.53,151.78,68.95,448,,151.39,125.61,,82.25,202.27,62.03,210.35,278.97
1963,236.67,,100.69,67.51,77.08,75.11,125.29,,81.59,118,,374.01,157.08,186.28,,137.84,41.53,,,312.29,,208.26,,,104.01,52.35,166.89,,138.4,50.43,,122.4,,210.71,,,165.31,105.44,42.21,,267.99,151.87,71.52,484.53,,149.99,144.77,,88.13,231.42,68.95,211.64,280.02
1964,249.62,,105.36,71.81,78.98,82.66,132.4,,87.86,121.84,,168.85,164.83,216.65,,154.4,48.02,,,432.95,,227.52,,,108.56,56.71,177.99,,142.71,50.22,,158.83,,215.93,,,159.5,110.88,41.6,,275.96,159.35,74.16,519.41,,150.07,169.89,,100.4,226.42,76.06,239.78,284.41
1965,263.04,,111.4,76.87,80.03,49.49,134.6,,91.32,126.78,,230.51,171.27,207.92,,160.89,240.32,,,451.25,,263.07,,,104.99,58.78,181.73,,144.61,57.73,,175.62,,221.3,,,177.53,114.74,46.2,,272.72,151.43,76.86,554.79,,152.29,179.49,,110.21,214.05,110.36,300.01,296.56
1966,248.56,,114.47,83.97,80.67,50.51,137.76,,93.85,128.89,,251.14,185.33,222.52,,163.85,250.88,,,486.09,105.94,266.3,,,118.56,59.54,188.86,,152.33,63.91,,178.22,,209.9,,,180.15,121.64,37.52,,272.67,155.5,79.07,591.81,,152.13,191.58,,122.57,220.01,111.61,339.69,280.58
1967,268.11,,113.73,92.9,82.27,53.36,147.21,,95.32,131.23,,182.14,193.93,226.15,,166.96,256.04,,,532.47,109.61,214.41,,,121.38,61,196.48,,157.81,64.57,47.85,183.73,,216.08,,,165.91,97.21,46.64,,264.31,141.93,81.18,646.28,,160.38,181.74,,125.72,224.65,112.78,356.39,296.07
1968,297.57,,119.02,101.81,82.45,53.78,161.92,,109.25,129.72,,204.38,199.51,257.06,,178.35,233.85,,,571.82,94.48,200.6,,,128.86,61.97,202.94,,165.95,57.18,58.82,196.8,,225.57,,,156.11,95,48.84,,269.1,131.86,83.29,684.32,,162.89,189.03,,125.27,246.23,117,405.51,303.57
1969,319.16,,118.38,115.25,83.99,54.89,172.81,,104.92,131.92,,255.53,204.47,262.16,,195.55,230.21,,,610.21,101.16,231.23,,,134.2,65.18,219.09,,165.6,60.34,57.26,181.25,,244.94,,,147.6,118.42,51.91,,247.93,160.47,85.09,754.91,,174.41,243.13,,132.63,256.38,127.61,480.84,347.08
1970,353.81,,117.08,138.89,78.93,69.09,169.55,,103.41,128.36,,240.67,205.95,268.72,,213.86,228.02,,,611.49,114.02,255.17,,130.59,142.5,66.54,224.43,,169.78,64.11,59.62,184.69,,258.41,,,147.92,218.73,58.66,,250.19,167.52,87.79,810.77,,192.54,251.58,,121.1,280.72,133.34,432.19,361.91
1971,358.41,,115.2,177.37,81.43,71.23,175.73,,108.03,134.1,,268.4,234.11,280.11,,224.92,227.95,,,707.18,117.96,271.3,,127.95,152.56,72.54,230.8,,178.35,78.28,70.07,194.58,,277.38,,,152.97,156.3,57.66,,250.09,158.9,90.79,874.45,,203.45,297.56,,132.33,323.56,145.65,386.38,404.57
1972,463.12,,138.09,223.41,95.73,68.99,198.46,,121.17,152.67,,288.07,289.44,312.94,,233.23,238.02,,,780.17,121.28,230.44,,139.46,174.4,75.19,241.92,,194.17,84.35,77.87,220.57,,315.17,,,159.77,203.92,61.79,,292.91,173.1,113.5,897.38,,213.9,310.74,,150.86,422.64,148.92,423.04,480.47
1973,578.99,,166.02,319.07,109.38,84.49,237.42,,139.97,164.71,,357.21,370.39,405.89,,250.37,309.49,,,1278.26,149.1,261.31,,137.99,199.7,110.29,247.26,,232.82,89.41,88.56,269.74,,378.47,,,197.99,245.67,70.63,,326.17,210.06,136.11,1202.47,,256.62,456.09,,178.4,506.76,165.28,531.55,573.72
1974,850.91,,178.45,386.21,119.24,95,296.13,,142.41,162.19,,423.54,388,474.8,,229.64,377.29,,,2661.98,183.8,298.64,,147.5,228.76,134.3,302.37,,262.75,106.9,83.09,325.53,,454.34,,,208.42,392.13,72.58,,356.47,232.43,121.1,1477.02,,319.5,527.05,,240.64,645.44,198.21,614.4,667.29
1975,971.27,,212.71,432.11,146.07,114.39,351.21,,187.7,210.16,,439.05,493.38,575.3,,285.01,437.78,,,3623.67,214.04,283.2,,157.01,241.68,130.07,348.35,,304.32,115.66,125.78,362.7,,519.2,,,206.79,426.44,130.28,,467.19,238.75,172.62,1494.16,,376.68,557.61,,259.42,771.51,216.53,498.48,708.45
1976,1072.28,,214.24,435.74,148.47,119.82,381.1,,218.85,206.15,,401.83,471.18,657.9,,325.6,453.56,,,4923.02,202.18,273.28,,155.83,248.25,125.29,349.64,,282.84,122.3,139.65,388.11,779.9,540.67,,,203.78,541.38,140.6,,461.48,204.91,178.56,1403.95,,454.54,511.16,,254.87,785.07,218.1,541.42,677.48
1977,1228.71,,224.46,508.75,168.19,143.37,404.58,,240.63,218.25,,498.96,464.15,844.41,,348.79,471.71,,,4474.58,241.47,309.94,,153.16,309.37,159.86,383.3,,297.35,142.19,153.29,388.59,897.67,608.54,,,240,521.29,159.23,,461.05,233.4,98.87,1526.81,,548.65,552.75,,313.45,867.6,253.98,480.43,663.15
